ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10977415,JA302627,06/11/2017 06:51:00 PM,0000X W 110TH PL,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0513,005,34,49,19,1177900,1831694,2017,06/18/2017 03:50:54 PM,41.693482951,-87.624288995,"(41.693482951, -87.624288995)"
10977609,JA302927,06/12/2017 12:13:00 AM,032XX W WALNUT ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1123,011,28,27,19,1154843,1901448,2017,06/19/2017 03:53:20 PM,41.885387895,-87.706845438,"(41.885387895, -87.706845438)"
10980111,JA305204,06/13/2017 02:30:00 PM,001XX N LECLAIRE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1532,015,28,25,19,1142368,1900216,2017,06/20/2017 03:51:28 PM,41.882247914,-87.752687037,"(41.882247914, -87.752687037)"
10980529,JA305844,06/13/2017 08:10:00 PM,055XX W OHIO ST,1651,GAMBLING,GAME/CARDS,PARKING LOT/GARAGE(NON.RESID.),true,false,1524,015,37,25,19,1139173,1903421,2017,06/20/2017 03:51:28 PM,41.891101561,-87.764341225,"(41.891101561, -87.764341225)"
10982010,JA307373,06/14/2017 10:41:00 PM,064XX S TALMAN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0825,008,15,66,19,1159819,1861777,2017,06/21/2017 03:52:13 PM,41.776424945,-87.689664151,"(41.776424945, -87.689664151)"
10982821,JA308023,06/15/2017 01:15:00 PM,013XX N HUDSON AVE,1661,GAMBLING,GAME/DICE,STREET,true,false,1821,018,27,8,19,1173068,1909520,2017,06/22/2017 03:56:17 PM,41.907153315,-87.639680572,"(41.907153315, -87.639680572)"
10983183,JA308552,06/15/2017 06:25:00 PM,062XX S LAFLIN ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0713,007,16,67,19,1167401,1863415,2017,06/22/2017 03:56:17 PM,41.780760731,-87.661822015,"(41.780760731, -87.661822015)"
10983207,JA308641,06/15/2017 07:35:00 PM,078XX S WESTERN AVE,1661,GAMBLING,GAME/DICE,CTA BUS STOP,true,false,0835,008,18,70,19,1161741,1852550,2017,06/22/2017 03:56:17 PM,41.751065032,-87.682873958,"(41.751065032, -87.682873958)"
10984622,JA310191,06/16/2017 07:49:00 PM,064XX S LAFLIN ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0725,007,17,67,19,1167440,1862103,2017,06/23/2017 03:52:20 PM,41.777159603,-87.661716601,"(41.777159603, -87.661716601)"
10985251,JA311059,06/17/2017 01:51:00 PM,072XX S ARTESIAN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0832,008,18,66,19,1161297,1856541,2017,06/24/2017 03:50:57 PM,41.762026129,-87.684390684,"(41.762026129, -87.684390684)"
10987612,JA314225,06/19/2017 06:03:00 PM,054XX W HADDON AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1524,015,37,25,19,1139814,1907131,2017,06/26/2017 04:00:12 PM,41.901270563,-87.761896363,"(41.901270563, -87.761896363)"
10989948,JA316599,06/21/2017 01:27:00 PM,078XX S WESTERN AVE,1661,GAMBLING,GAME/DICE,CTA BUS STOP,true,false,0835,008,18,70,19,1161741,1852550,2017,06/28/2017 03:55:12 PM,41.751065032,-87.682873958,"(41.751065032, -87.682873958)"
10991733,JA318546,06/22/2017 08:19:00 PM,049XX W ADAMS ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1533,015,28,25,19,1143631,1898881,2017,06/29/2017 03:52:44 PM,41.878560968,-87.748082667,"(41.878560968, -87.748082667)"
10992737,JA319286,06/23/2017 12:27:00 PM,010XX N AVERS AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1112,011,27,23,19,1150528,1906671,2017,06/30/2017 03:55:30 PM,41.899805698,-87.722554488,"(41.899805698, -87.722554488)"
